year,province ,crop ,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),total farm gate value ($),,
2015,BC,corn ,1142.5,2426,3.06,8194,8835,,
2016,BC,corn ,1356.8,2634,3.33,9717,9847,,
2017,BC,corn ,1239.3,2284,2.61,6673,7391,,
2018,BC,corn ,1343.4,2320,,7288,8455,,
2019,BC,corn ,965.7,2410,,8627,7882,,
2020,BC,corn ,1140.4,2228,,6431,7162,,
2021,BC,corn ,1160.3,2498,,7814,8921,,
2022,BC,corn ,1046.3,2800,,,,,
1995,MB,corn ,,1000,4.5,5000,1170,,
1996,MB,corn ,,940,4.005,4164,1462,,
1997,MB,corn ,,,,,,,
1998,MB,corn ,,830,3.24,3000,1260,,
1999,MB,corn ,,700,1.98,1550,770,,
2000,MB,corn ,,670,3.015,2250,1125,,
2001,MB,corn ,,800,3.96,3500,1750,,
2002,MB,corn ,,750,2.385,1998,1625,,
2003,MB,corn ,,525,2.7,1570,750,,
2004,MB,corn ,,290,2.52,815,360,,
2005,MB,corn ,,300,2.295,763,350,,
2006,MB,corn ,,600,2.385,1600,,,
2007,MB,corn ,,600,1.575,1050,900,,
2008,MB,corn ,,555,1.62,995,980,,
2009,MB,corn ,,500,2.07,1156,987,,
2010,MB,corn ,,629,2.025,1416,1163,,
2011,MB,corn ,,645,2.34,1682,1272,,
2012,MB,corn ,,641,2.025,1458,1148,,
2013,MB,corn ,,573,1.575,1003,869,,
2014,MB,corn ,,414,2.655,1226,1037,,
2015,MB,corn ,,436,1.485,712,740,,
2016,MB,corn ,,423,1.98,925,921,,
2017,MB,corn ,,410,2.79,1263,1303,,
2018,MB,corn ,,377,,1129,1143,,
2019,MB,corn ,,394,,1075,1041,,
2020,MB,corn ,,343,,783,796,,
2021,MB,corn ,,350,,994,1091,,
2022,MB,corn ,,,,,,,
1995,NB,corn ,,557,2.025,1254,702,,
1996,NB,corn ,,643,2.655,1896,834,,
1997,NB,corn ,,600,2.115,1413,800,,
1998,NB,corn ,,575,1.35,860,600,,
1999,NB,corn ,,480,1.215,650,560,,
2000,NB,corn ,,450,1.665,833,665,,
2001,NB,corn ,,560,2.07,1290,875,,
2002,NB,corn ,,550,2.07,1275,775,,
2003,NB,corn ,,435,1.845,900,625,,
2004,NB,corn ,,440,2.34,1150,690,,
2005,NB,corn ,,450,1.935,975,700,,
2006,NB,corn ,,410,2.205,1000,800,,
2007,NB,corn ,,400,1.395,625,650,,
2008,NB,corn ,,350,1.935,755,770,,
2009,NB,corn ,,410,2.115,965,1056,,
2010,NB,corn ,,345,1.755,681,744,,
2011,NB,corn ,,329,2.115,767,838,,
2012,NB,corn ,,362,1.71,679,775,,
2013,NB,corn ,,304,2.16,731,856,,
2014,NB,corn ,,326,1.62,583,757,,
2015,NB,corn ,,291,2.385,776,1038,,
2016,NB,corn ,,283,1.755,553,815,,
2017,NB,corn ,,282,1.575,487,777,,
2018,NB,corn ,,288,,538,816,,
2019,NB,corn ,,286,,608,864,,
2020,NB,corn ,,272,,621,894,,
2021,NB,corn ,,305,,724,1044,,
2022,NB,corn ,,,,,,,
1995,NL,corn ,,,,,,,
1996,NL,corn ,,,,,,,
1997,NL,corn ,,,,,,,
1998,NL,corn ,,,,,,,
1999,NL,corn ,,,,,,,
2000,NL,corn ,,,,,,,
2001,NL,corn ,,,,,,,
2002,NL,corn ,,5,1.8,10,15,,
2003,NL,corn ,,15,2.115,35,55,,
2004,NL,corn ,,,,,,,
2005,NL,corn ,,10,0.45,5,5,,
2006,NL,corn ,,35,0.495,20,25,,
2007,NL,corn ,,35,0.9,35,50,,
2008,NL,corn ,,30,0.9,30,30,,
2009,NL,corn ,,,,,,,
2010,NL,corn ,,12,1.62,22,28,,
2011,NL,corn ,,,,3,,,
2012,NL,corn ,,8,1.71,15,30,,
2013,NL,corn ,,,,15,,,
2014,NL,corn ,,,,16,,,
2015,NL,corn ,,,,17,,,
2016,NL,corn ,,20,0.9,20,23,,
2017,NL,corn ,,16,0.9,16,36,,
2018,NL,corn ,,15,,19,36,,
2019,NL,corn ,,13,,17,35,,
2020,NL,corn ,,17,,17,37,,
2021,NL,corn ,,20,,24,47,,
2022,NL,corn ,,,,,,,
1995,NS,corn ,,650,1.89,1365,729,,
1996,NS,corn ,,711,2.565,2027,811,,
1997,NS,corn ,,620,1.485,1030,490,,
1998,NS,corn ,,580,1.44,930,410,,
1999,NS,corn ,,500,3.15,1750,470,,
2000,NS,corn ,,440,2.52,1240,575,,
2001,NS,corn ,,650,1.71,1225,650,,
2002,NS,corn ,,650,2.07,1500,650,,
2003,NS,corn ,,700,1.755,1350,625,,
2004,NS,corn ,,500,2.115,1170,640,,
2005,NS,corn ,,475,2.25,1180,865,,
2006,NS,corn ,,565,2.385,1500,645,,
2007,NS,corn ,,500,3.24,1800,920,,
2008,NS,corn ,,400,2.7,1200,650,,
2009,NS,corn ,,330,1.71,620,530,,
2010,NS,corn ,,390,2.565,1119,597,,
2011,NS,corn ,,608,2.43,1643,1233,,
2012,NS,corn ,,566,2.475,1547,1097,,
2013,NS,corn ,,539,2.43,1462,1169,,
2014,NS,corn ,,433,2.385,1153,1149,,
2015,NS,corn ,,393,1.71,746,821,,
2016,NS,corn ,,435,1.8,879,1054,,
2017,NS,corn ,,413,2.16,989,992,,
2018,NS,corn ,,430,,892,924,,
2019,NS,corn ,,420,,706,785,,
2020,NS,corn ,,404,,902,997,,
2021,NS,corn ,,420,,998,1158,,
2022,NS,corn ,,,,,,,
1995,ON,corn ,,44405,4.275,211442,28360,,
1996,ON,corn ,,48100,4.455,239015,34450,,
1997,ON,corn ,,46880,4.545,237000,24529,,
1998,ON,corn ,,44830,4.635,231438,24920,,
1999,ON,corn ,,46100,4.68,240150,24890,,
2000,ON,corn ,,43120,3.42,164663,18195,,
2001,ON,corn ,,46065,4.185,214500,21155,,
2002,ON,corn ,,42000,3.915,182600,22245,,
2003,ON,corn ,,43100,4.86,231675,25065,,
2004,ON,corn ,,36100,4.725,190000,23200,,
2005,ON,corn ,,33700,4.455,167250,22100,,
2006,ON,corn ,,35126,5.175,201440,33993,,
2007,ON,corn ,,33400,5.175,192500,25500,,
2008,ON,corn ,,26000,4.5,130000,28000,,
2009,ON,corn ,,22230,5.355,132265,35989,,
2010,ON,corn ,,23309,4.815,124309,30473,,
2011,ON,corn ,,25536,4.725,133846,35019,,
2012,ON,corn ,,23829,4.725,124528,33708,,
2013,ON,corn ,,23204,4.77,122761,37130,,
2014,ON,corn ,,22186,5.4,132732,37760,,
2015,ON,corn ,,22661,5.13,129676,40246,,
2016,ON,corn ,,22270,4.455,109787,34408,,
2017,ON,corn ,,19003,5.445,114565,37854,,
2018,ON,corn ,,19022,,111569,36681,,
2019,ON,corn ,,18375,,110595,36142,,
2020,ON,corn ,,19281,,124454,42641,,
2021,ON,corn ,,19532,,120049,42087,,
2022,ON,corn ,,,,,,,
1995,PE,corn ,,85,2.025,192,108,,
1996,PE,corn ,,82,2.16,199,93,,
1997,PE,corn ,,75,2.385,200,125,,
1998,PE,corn ,,70,2.79,218,140,,
1999,PE,corn ,,,,,,,
2000,PE,corn ,,50,2.25,125,100,,
2001,PE,corn ,,,,,,,
2002,PE,corn ,,65,3.285,238,150,,
2003,PE,corn ,,70,3.06,238,185,,
2004,PE,corn ,,,,,,,
2005,PE,corn ,,75,3.015,250,95,,
2006,PE,corn ,,70,2.43,188,145,,
2007,PE,corn ,,50,3.825,213,200,,
2008,PE,corn ,,50,3.69,205,230,,
2009,PE,corn ,,35,2.205,86,67,,
2010,PE,corn ,,50,2.07,116,131,,
2011,PE,corn ,,52,2.7,155,121,,
2012,PE,corn ,,59,1.98,129,127,,
2013,PE,corn ,,56,1.755,109,122,,
2014,PE,corn ,,54,,128,,,
2015,PE,corn ,,,,97,,,
2016,PE,corn ,,,,69,,,
2017,PE,corn ,,55,1.98,120,168,,
2018,PE,corn ,,55,,238,193,,
2019,PE,corn ,,55,,271,244,,
2020,PE,corn ,,52,,209,234,,
2021,PE,corn ,,54,,184,261,,
2022,PE,corn ,,,,,,,
1995,QC,corn ,,23230,3.87,99325,17198,,
1996,QC,corn ,,28680,3.375,107400,16190,,
1997,QC,corn ,,27860,3.825,117940,21520,,
1998,QC,corn ,,27740,3.51,108165,20230,,
1999,QC,corn ,,24430,3.51,95000,16600,,
2000,QC,corn ,,24735,3.24,89295,16135,,
2001,QC,corn ,,25605,2.745,77580,15520,,
2002,QC,corn ,,23920,3.24,85980,16880,,
2003,QC,corn ,,21700,3.78,91650,16665,,
2004,QC,corn ,,21600,3.915,94000,17100,,
2005,QC,corn ,,20750,3.69,85000,15400,,
2006,QC,corn ,,22050,3.825,94222,17307,,
2007,QC,corn ,,22200,4.14,102500,19200,,
2008,QC,corn ,,20536,3.96,90844,20978,,
2009,QC,corn ,,21214,4.05,95927,24991,,
2010,QC,corn ,,20229,4.05,91521,22175,,
2011,QC,corn ,,21346,3.735,88840,23871,,
2012,QC,corn ,,20156,3.87,86376,25542,,
2013,QC,corn ,,19723,4.095,89697,24099,,
2014,QC,corn ,,18940,3.825,80445,23005,,
2015,QC,corn ,,18223,4.455,90472,24286,,
2016,QC,corn ,,17833,4.14,82172,24742,,
2017,QC,corn ,,16920,4.05,76306,23346,,
2018,QC,corn ,,16374,,72449,23250,,
2019,QC,corn ,,16012,,72324,26522,,
2020,QC,corn ,,15702,,69577,26470,,
2021,QC,corn ,,15760,,71976,25899,,
2022,QC,corn ,,,,,,,
1995,SK,corn ,375.5,415,,0,0,,
1996,SK,corn ,446.4,350,0.945,361,210,,
1997,SK,corn ,312.9,300,0.9,300,215,,
1998,SK,corn ,280,190,1.89,400,225,,
1999,SK,corn ,401.4,210,0.765,175,140,,
2000,SK,corn ,344.6,160,1.35,240,220,,
2001,SK,corn ,159.7,200,0.945,213,140,,
2002,SK,corn ,299.3,195,1.035,223,220,,
2003,SK,corn ,233.8,125,0.9,125,125,,
2004,SK,corn ,402.6,30,0.54,18,20,,
2005,SK,corn ,523,100,0.45,48,45,,
2006,SK,corn ,488.8,110,0.765,95,50,,
2007,SK,corn ,366,90,0.315,33,35,,
2008,SK,corn ,327.1,55,0.495,30,70,,
2009,SK,corn ,298.5,70,1.215,94,110,,
2010,SK,corn ,642.5,51,,,75,,
2011,SK,corn ,285.4,111,1.215,148,190,,
2012,SK,corn ,510.2,134,0.855,130,210,,
2013,SK,corn ,279.6,127,1.35,194,250,,
2014,SK,corn ,364.9,130,,394,,,
2015,SK,corn ,292.4,150,2.295,382,382,,
2016,SK,corn ,345.1,155,1.8,312,343,,
2017,SK,corn ,234.3,,,335,,,
2018,SK,corn ,207.7,135,,,489,,
2019,SK,corn ,266.4,130,,500,541,,
2020,SK,corn ,297.4,117,,432,509,,
2021,SK,corn ,180.7,48,,135,148,,
2022,SK,corn ,208.7,,,,,,
1995,AB,wheat,350.1,6620000,1.09,7266500,,,
1996,AB,wheat,482.1,7190000,1.09,7789100,,,
1997,AB,wheat,491.3,6625000,1.05,6839300,,,
1998,AB,wheat,489.1,6690000,1.01,6752300,,,
1999,AB,wheat,423.8,7130000,1.13,8219200,,,
2000,AB,wheat,396.5,6947000,1.01,7123700,,,
2001,AB,wheat,352.1,6480000,0.89,5864900,,,
2002,AB,wheat,235.2,4588000,0.77,3522400,,,
2003,AB,wheat,473.4,6128000,1.05,6429600,,,
2004,AB,wheat,525.5,6105000,1.26,7571400,,,
2005,AB,wheat,287.2,6450000,1.30,8371400,,,
2006,AB,wheat,442.5,6370000,1.17,7503400,,,
2007,AB,wheat,272,5685000,1.05,6076100,,,
2008,AB,wheat,292.7,6845000,1.30,8736200,,,
2009,AB,wheat,243.5,6685000,1.13,7440700,,,
2010,AB,wheat,383,6430000,1.30,8201300,,,
2011,AB,wheat,391.4,6617000,1.34,8839600,,,
2012,AB,wheat,369.5,6485000,1.30,8368800,,,
2013,AB,wheat,483.5,7160000,1.58,11329000,,,
2014,AB,wheat,360,6740000,1.38,9372800,,,
2015,AB,wheat,289.3,6710000,1.26,8290000,,,
2016,AB,wheat,489.5,6389000,1.58,10106600,,,
2017,AB,wheat,376.3,6965000,1.42,9980100,,,
2018,AB,wheat,368.6,7391600,1.35,10006100,,,
2019,AB,wheat,463,7208900,1.42,10263200,,,
2020,AB,wheat,498.7,7276400,1.52,11041000,,,
2021,AB,wheat,270.6,6774300,0.95,6419000,,,
2022,AB,wheat,397,7491500,1.52,11343305,,,
1995,BC,wheat,1272.8,110000,1.30,140700,,,
1996,BC,wheat,1462.8,60000,1.34,78900,,,
1997,BC,wheat,1521.8,50000,1.26,62100,,,
1998,BC,wheat,1160.5,67000,1.13,76500,,,
1999,BC,wheat,1394.4,97000,1.01,97500,,,
2000,BC,wheat,1010.8,85000,1.09,93900,,,
2001,BC,wheat,1178.5,75000,1.13,83600,,,
2002,BC,wheat,857.6,32000,1.09,34700,,,
2003,BC,wheat,1106.1,49000,1.09,53100,,,
2004,BC,wheat,1210.6,51000,1.01,52500,,,
2005,BC,wheat,1215.2,45000,1.30,58200,,,
2006,BC,wheat,1224.2,54000,0.77,40800,,,
2007,BC,wheat,1322.4,40000,1.22,48600,,,
2008,BC,wheat,1025.8,60000,0.77,46700,,,
2009,BC,wheat,1090.6,75000,0.93,71200,,,
2010,BC,wheat,1207,59000,0.73,43700,,,
2011,BC,wheat,1068.5,76000,1.58,121600,,,
2012,BC,wheat,1211.3,75000,1.30,96000,,,
2013,BC,wheat,944,93000,1.62,151800,,,
2014,BC,wheat,1276.3,93000,1.17,109400,,,
2015,BC,wheat,1142.5,98000,1.38,134900,,,
2016,BC,wheat,1356.8,89000,1.58,139600,,,
2017,BC,wheat,1239.3,42000,1.46,61000,,,
2018,BC,wheat,1343.4,66600,1.54,102100,,,
2019,BC,wheat,965.7,71800,1.55,111200,,,
2020,BC,wheat,1140.4,51800,1.18,61600,,,
2021,BC,wheat,1160.3,61600,1.05,64846,,,
2022,BC,wheat,1046.3,82900,1.34,110846,,,
1995,MB,wheat,,3990000,0.85,3404700,,,
1996,MB,wheat,,4200000,1.05,4376500,,,
1997,MB,wheat,,3880000,0.85,3350200,,,
1998,MB,wheat,,3230000,1.01,3219700,,,
1999,MB,wheat,,3145000,1.01,3158300,,,
2000,MB,wheat,,3885000,1.09,4266000,,,
2001,MB,wheat,,3910000,0.89,3430600,,,
2002,MB,wheat,,3365000,0.97,3325200,,,
2003,MB,wheat,,3310000,1.17,3944800,,,
2004,MB,wheat,,3015000,1.22,3707300,,,
2005,MB,wheat,,2700000,0.89,2367600,,,
2006,MB,wheat,,3270000,1.17,3794900,,,
2007,MB,wheat,,2900000,1.09,3211400,,,
2008,MB,wheat,,3185000,1.34,4280900,,,
2009,MB,wheat,,3080000,1.34,4144900,,,
2010,MB,wheat,,2905000,1.13,3250900,,,
2011,MB,wheat,,2125000,1.05,2228900,,,
2012,MB,wheat,,2980000,1.34,3923000,,,
2013,MB,wheat,,3332000,1.54,5160000,,,
2014,MB,wheat,,2885000,1.34,3797500,,,
2015,MB,wheat,,3095000,1.38,4218300,,,
2016,MB,wheat,,2947200,1.42,4217400,,,
2017,MB,wheat,,2682000,1.34,4475900,,,
2018,MB,wheat,,2888900,1.66,4791600,,,
2019,MB,wheat,,3052800,1.66,5050000,,,
2020,MB,wheat,,3158900,1.67,5274100,,,
2021,MB,wheat,,2876600,1.30,3750909,,,
2022,MB,wheat,,3011400,1.58,4758248,,,
1995,NB,wheat,,7000,1.13,7700,,,
1996,NB,wheat,,8700,1.50,12800,,,
1997,NB,wheat,,9000,1.38,12100,,,
1998,NB,wheat,,8000,1.54,12000,,,
1999,NB,wheat,,10400,1.58,16400,,,
2000,NB,wheat,,7900,1.38,11000,,,
2001,NB,wheat,,9300,1.22,11100,,,
2002,NB,wheat,,12500,1.58,20100,,,
2003,NB,wheat,,14000,1.09,15300,,,
2004,NB,wheat,,13000,1.26,16200,,,
2005,NB,wheat,,5000,1.30,6300,,,
2006,NB,wheat,,3300,0.89,2800,,,
2007,NB,wheat,,4500,1.22,5400,,,
2008,NB,wheat,,5500,1.05,5800,,,
2009,NB,wheat,,3500,0.97,3300,,,
2010,NB,wheat,,3000,1.34,4000,,,
2011,NB,wheat,,3500,1.38,4800,,,
2012,NB,wheat,,5000,1.30,6300,,,
2013,NB,wheat,,5500,1.34,7300,,,
2014,NB,wheat,,8000,1.13,9100,,,
2015,NB,wheat,,10000,1.42,13900,,,
2016,NB,wheat,,8500,1.38,11400,,,
2017,NB,wheat,,7000,1.50,10300,,,
2018,NB,wheat,,10500,1.40,14500,,,
2019,NB,wheat,,12100,1.52,18400,,,
2020,NB,wheat,,13000,1.11,14300,,,
2021,NB,wheat,,7000,1.58,10867,,,
2022,NB,wheat,,9000,1.51,13428,,,
1995,NL,wheat,,,,,,,
1996,NL,wheat,,,,,,,
1997,NL,wheat,,,,,,,
1998,NL,wheat,,,,,,,
1999,NL,wheat,,,,,,,
2000,NL,wheat,,,,,,,
2001,NL,wheat,,,,,,,
2002,NL,wheat,,,,,,,
2003,NL,wheat,,,,,,,
2004,NL,wheat,,,,,,,
2005,NL,wheat,,,,,,,
2006,NL,wheat,,,,,,,
2007,NL,wheat,,,,,,,
2008,NL,wheat,,,,,,,
2009,NL,wheat,,,,,,,
2010,NL,wheat,,,,,,,
2011,NL,wheat,,,,,,,
2012,NL,wheat,,,,,,,
2013,NL,wheat,,,,,,,
2014,NL,wheat,,,,,,,
2015,NL,wheat,,,,,,,
2016,NL,wheat,,,,,,,
2017,NL,wheat,,,,,,,
2018,NL,wheat,,,,,,,
2019,NL,wheat,,,,,,,
2020,NL,wheat,,,,,,,
2021,NL,wheat,,,,,,,
2022,NL,wheat,,,,,,,
1995,NS,wheat,,7700,1.34,10200,,,
1996,NS,wheat,,6700,1.46,9700,,,
1997,NS,wheat,,5200,1.09,5700,,,
1998,NS,wheat,,6900,1.22,8400,,,
1999,NS,wheat,,5900,1.09,6400,,,
2000,NS,wheat,,6400,1.50,9600,,,
2001,NS,wheat,,7100,1.26,9100,,,
2002,NS,wheat,,9000,1.78,16000,,,
2003,NS,wheat,,8500,1.34,11200,,,
2004,NS,wheat,,9000,1.62,14400,,,
2005,NS,wheat,,7500,1.50,11100,,,
2006,NS,wheat,,5900,1.38,8200,,,
2007,NS,wheat,,3800,1.34,5000,,,
2008,NS,wheat,,7500,1.58,11700,,,
2009,NS,wheat,,6500,1.50,9700,,,
2010,NS,wheat,,7000,1.34,9100,,,
2011,NS,wheat,,7000,1.86,13000,,,
2012,NS,wheat,,6500,1.70,10800,,,
2013,NS,wheat,,6500,1.62,10500,,,
2014,NS,wheat,,5500,1.70,9200,,,
2015,NS,wheat,,7500,2.07,15200,,,
2016,NS,wheat,,7400,1.98,14700,,,
2017,NS,wheat,,6500,2.07,13200,,,
2018,NS,wheat,,5100,1.94,9600,,,
2019,NS,wheat,,4300,1.64,7300,,,
2020,NS,wheat,,8000,1.49,11800,,,
2021,NS,wheat,,4500,1.80,8007,,,
2022,NS,wheat,,6100,1.95,12546,,,
1995,ON,wheat,,735000,1.86,91000,,,
1996,ON,wheat,,780000,1.09,78700,,,
1997,ON,wheat,,528000,1.62,100200,,,
1998,ON,wheat,,800000,1.66,94100,,,
1999,ON,wheat,,800000,1.90,95600,,,
2000,ON,wheat,,775000,1.94,80200,,,
2001,ON,wheat,,665000,1.86,95600,,,
2002,ON,wheat,,750000,1.82,103300,,,
2003,ON,wheat,,1105000,2.03,123400,,,
2004,ON,wheat,,890000,1.90,108000,,,
2005,ON,wheat,,985000,1.78,104100,,,
2006,ON,wheat,,1230000,2.15,113400,,,
2007,ON,wheat,,775000,1.86,87900,,,
2008,ON,wheat,,1450000,2.07,67900,,,
2009,ON,wheat,,1098000,1.90,79800,,,
2010,ON,wheat,,987000,2.07,75600,,,
2011,ON,wheat,,1215000,1.98,64400,,,
2012,ON,wheat,,929000,2.07,60900,,,
2013,ON,wheat,,1150000,2.11,75600,,,
2014,ON,wheat,,855000,2.07,70900,,,
2015,ON,wheat,,774000,2.07,154200,,,
2016,ON,wheat,,1199000,2.31,80200,,,
2017,ON,wheat,,1010000,2.27,71100,,,
2018,ON,wheat,,995500,2.21,65600,,,
2019,ON,wheat,,751100,2.03,104700,,,
2020,ON,wheat,,1149200,2.16,103700,,,
2021,ON,wheat,,1176800,2.39,81053,,,
2022,ON,wheat,,940700,2.55,111869,,,
1995,PE,wheat,,22500,1.30,29100,,,
1996,PE,wheat,,23700,1.38,32200,,,
1997,PE,wheat,,23000,1.26,29000,,,
1998,PE,wheat,,22800,1.34,30400,,,
1999,PE,wheat,,25000,0.97,24700,,,
2000,PE,wheat,,25500,1.46,36600,,,
2001,PE,wheat,,27100,1.13,30500,,,
2002,PE,wheat,,28000,1.50,41400,,,
2003,PE,wheat,,25000,1.22,30000,,,
2004,PE,wheat,,30000,1.05,32000,,,
2005,PE,wheat,,29000,1.26,36000,,,
2006,PE,wheat,,26900,1.13,30200,,,
2007,PE,wheat,,26000,1.26,33000,,,
2008,PE,wheat,,40000,1.05,42900,,,
2009,PE,wheat,,23700,1.26,29600,,,
2010,PE,wheat,,26500,1.09,28800,,,
2011,PE,wheat,,22500,1.34,30400,,,
2012,PE,wheat,,21000,1.42,29600,,,
2013,PE,wheat,,19000,1.34,25100,,,
2014,PE,wheat,,24000,1.30,31500,,,
2015,PE,wheat,,30500,1.42,43400,,,
2016,PE,wheat,,33800,1.42,48200,,,
2017,PE,wheat,,37000,1.54,56700,,,
2018,PE,wheat,,40000,1.51,60800,,,
2019,PE,wheat,,38800,1.57,60800,,,
2020,PE,wheat,,44200,1.42,62200,,,
2021,PE,wheat,,30200,1.64,49826,,,
2022,PE,wheat,,39160,1.90,74464,,,
1995,QC,wheat,,88800,1.13,99400,,,
1996,QC,wheat,,82800,1.13,92500,,,
1997,QC,wheat,,64500,1.26,81600,,,
1998,QC,wheat,,60800,1.17,70500,,,
1999,QC,wheat,,58600,1.22,71100,,,
2000,QC,wheat,,67000,1.34,88800,,,
2001,QC,wheat,,89000,1.30,114000,,,
2002,QC,wheat,,110000,1.34,145500,,,
2003,QC,wheat,,136600,1.26,172000,,,
2004,QC,wheat,,123100,1.34,163500,,,
2005,QC,wheat,,135900,1.17,161800,,,
2006,QC,wheat,,134400,1.17,160400,,,
2007,QC,wheat,,138900,1.26,173700,,,
2008,QC,wheat,,131000,1.13,149500,,,
2009,QC,wheat,,135200,1.09,148500,,,
2010,QC,wheat,,128500,1.22,157000,,,
2011,QC,wheat,,102500,1.13,116000,,,
2012,QC,wheat,,122600,1.30,160000,,,
2013,QC,wheat,,145000,1.26,183300,,,
2014,QC,wheat,,161800,1.26,204500,,,
2015,QC,wheat,,200200,1.42,281500,,,
2016,QC,wheat,,217000,1.42,310100,,,
2017,QC,wheat,,226100,1.30,295000,,,
2018,QC,wheat,,227900,1.27,290100,,,
2019,QC,wheat,,200400,1.38,276400,,,
2020,QC,wheat,,264100,0.94,248500,,,
2021,QC,wheat,,235100,1.47,344818,,,
2022,QC,wheat,,218800,1.59,347135,,,
1995,SK,wheat,375.5,15905000,0.81,12663500,,,
1996,SK,wheat,446.4,17950000,0.93,16547000,,,
1997,SK,wheat,312.9,17025000,0.77,13070300,,,
1998,SK,wheat,280,15505000,0.81,12600700,,,
1999,SK,wheat,401.4,14380000,0.97,13839500,,,
2000,SK,wheat,344.6,15025000,0.89,13411800,,,
2001,SK,wheat,159.7,14945000,0.65,9850800,,,
2002,SK,wheat,299.3,12630000,0.61,7484300,,,
2003,SK,wheat,233.8,14465000,0.69,10174500,,,
2004,SK,wheat,402.6,12965000,0.89,11561700,,,
2005,SK,wheat,523,12880000,1.01,12972200,,,
2006,SK,wheat,488.8,12830000,0.85,11103900,,,
2007,SK,wheat,366,11718000,0.77,9094800,,,
2008,SK,wheat,327.1,13025000,0.93,12342300,,,
2009,SK,wheat,298.5,12765000,1.01,12993500,,,
2010,SK,wheat,642.5,9955000,0.97,9566300,,,
2011,SK,wheat,285.4,10965000,1.05,11525800,,,
2012,SK,wheat,510.2,12800000,1.01,12727300,,,
2013,SK,wheat,279.6,13905000,1.34,18298300,,,
2014,SK,wheat,364.9,12835000,1.09,14158100,,,
2015,SK,wheat,292.4,12695000,1.01,13044500,,,
2016,SK,wheat,345.1,11290000,1.30,14548600,,,
2017,SK,wheat,234.3,11223000,0.94,13185400,,,
2018,SK,wheat,207.7,12790600,1.16,14877100,,,
2019,SK,wheat,266.4,12519200,1.23,15360800,,,
2020,SK,wheat,297.4,12788800,1.27,16238400,,,
2021,SK,wheat,180.7,11550200,0.77,8833900,,,
2022,SK,wheat,208.7,13113300,1.13,14766371,,,
1995,AB,potato,350.1,29500,14.9,439.1,74346,,
1996,AB,potato,482.1,29500,13.4,415.4,57875,,
1997,AB,potato,491.3,29500,14.5,442.3,67932,,
1998,AB,potato,489.1,29500,14.8,475.0,75696,,
